#OTUID	Interest
Aflatoxin_biosynthesis	N
African_trypanosomiasis	N
AGE-RAGE_signaling_pathway_in_diabetic_complications	N
Aggrecan_/_versican_family	N
Aggrephagy	N
AKT/PKB_family	N
"Alanine,_aspartate_and_glutamate_metabolism"	N
ALCAM	N
Alcoholism	N
Aldosterone_synthesis_and_secretion	N
Aldosterone-regulated_sodium_reabsorption	N
ALK_family	N
Allograft_rejection	N
Alpha_family	N
Alpha_Subunits	N
alpha-Linolenic_acid_metabolism	N
Alzheimer_disease	N
Amino_acid_metabolism	N
Amino_acid_related_enzymes	N
Amino_sugar_and_nucleotide_sugar_metabolism	N
Aminoacyl-tRNA_biosynthesis	N
Aminoacyl-tRNA_synthetases_(AARSs)	N
Aminobenzoate_degradation	N
Amoebiasis	N
Amphetamine_addiction	N
AMPK_signaling_pathway	N
Amyotrophic_lateral_sclerosis_(ALS)	N
Animal_type	N
Antifolate_resistance	N
Antigen_processing_and_presentation	N
Apelin_signaling_pathway	N
Apoptosis	N
Apoptosis_-_fly	N
Apoptosis_-_multiple_species	N
Aquaporins_and_small_neutral_solute_transporters	N
Arachidonic_acid_metabolism	N
Archaea	N
Archaeal_type	N
Archeal_mRNA_degradation_factors	N
Arf_GTPases_and_associated_proteins	N
Arf/Sar_Family	N
Arginine_and_proline_metabolism	N
Arginine_biosynthesis	N
Arrhythmogenic_right_ventricular_cardiomyopathy_(ARVC)	N
Ascorbate_and_aldarate_metabolism	N
Assembling_factors	N
Asthma	N
ATP-gated_cation_channel_(P2X)	N
Atypical_E3	N
AUR_family	N
Autoimmune_thyroid_disease	N
Autophagosome_formation_proteins	N
Autophagy_-_animal	N
Autophagy_-_other	N
Autophagy_-_yeast	N
AXL_family	N
Axon_guidance	N
Axon_guidance_molecules	N
Axon_regeneration	N
B_cell_receptor_signaling_pathway	N
B_DAX_like_receptor	N
B_Estrogen-related_receptor	N
B_Retinoic_acid_receptor_(RAR)	N
B_Retinoid_X_receptor_(RXR)	N
Bacteria	N
Bacterial_invasion_of_epithelial_cells	Prior
Bacterial_mRNA_degradation_factors	N
Bacterial_secretion_system	N
Bacterial_toxins	N
BAG	N
Basal_cell_carcinoma	N
Basal_transcription_factors	N
Base_and_nucleoside	N
Base_excision_repair	N
Basement_membrane_proteoglycans	N
Basic_helix-loop-helix_(bHLH)	N
Basic_helix-loop-helix/leucine_zipper_(bHLH-ZIP)	N
Basic_leucine_zipper_(bZIP)	N
BCR_family	N
Benzoate_degradation	N
Beta_Subunits	N
beta-Alanine_metabolism	N
beta-Scaffold_factors_with_minor_groove_contacts	N
Betalain_biosynthesis	N
Bile_secretion	N
Bin/Amphiphysin/Rvs_(BAR)_family_proteins	N
Biofilm_formation_-_Escherichia_coli	N
Biogenic_amine	N
Biosynthesis_of_ansamycins	N
Biosynthesis_of_unsaturated_fatty_acids	N
Biotin_metabolism	N
Bladder_cancer	N
BLVRB	N
Box_C/D_snoRNAs	N
Brain-specific_angiogenesis_inhibitor_(BAI)	N
BRD_family	N
Breast_cancer	N
"BST1,_CD157"	N
BUB_family	N
Bud32_family	N
Butanoate_metabolism	Prior
C_3-Ketosteroid_receptor	N
C_Peroxisome_proliferator-activated_receptor_(PPAR)	N
C_Testicular_receptor	N
C-type_lectin_receptor_signaling_pathway	N
C-type_lectin_receptors	N
Cadherin_EGF_LAG_(CELSR)	N
Cadherin_related	N
Caffeine_metabolism	N
"Calcium_channel,_calcium_release-activated_(Orai)"	N
"Calcium_channel,_sperm-associated_(CatSper)"	N
"Calcium_channel,_two-pore_(TPC)"	N
"Calcium_channel,_voltage-gated_(Cav)"	N
Calcium_ion-dependent_exocytosis	N
Calcium_signaling_pathway	N
Calcium-regulating_peptide	N
Calnexin_/_calreticulin	N
CALR	N
CAMK1_family	N
CAMK2_family	N
CAMKK_family	N
CAMKL_family	N
cAMP_signaling_pathway	N
CANX	N
Caprolactam_degradation	N
Carbohydrate_digestion_and_absorption	N
Carbon_fixation_in_photosynthetic_organisms	N
Carbon_fixation_pathways_in_prokaryotes	N
Carbon-carbon_lyases	N
Carbon-nitrogen_lyases	N
Carbon-oxygen_lyases	N
Carbon-sulfur_lyases	N
Cardiac_muscle_contraction	N
CASK_family	N
Catalysing_the_reaction_X-H_+_Y-H_=_X-Y	N
Catalysing_the_translocation_of_hydrons	N
Catalysing_the_translocation_of_inorganic_anions_and_their_chelates	N
Catalysing_the_translocation_of_inorganic_cations	N
Catalysing_the_translocation_of_other_compounds	N
Cationic_antimicrobial_peptide_(CAMP)_resistance	N
CC_Chemokine	N
CCK_family	N
CD_molecules	N
"CD10,_MME"	N
"CD100,_SEMA4D"	N
"CD101,_IGSF2"	N
"CD102,_ICAM2"	N
"CD103,_ITGAE"	N
"CD104,_ITGB4"	N
"CD105,_ENG"	N
"CD107a,_LAMP1"	N
"CD107b,_LAMP2"	N
"CD108,_SEMA7A"	N
CD109	N
"CD110,_MPL"	N
"CD111,_PVRL1"	N
"CD112,_PVRL2"	N
"CD113,_PVRL3"	N
"CD114,_CSF3R"	N
"CD115,_CSF1R"	N
"CD116,_CSF2RA"	N
"CD117,_KIT"	N
"CD118,_LIFR"	N
"CD119,_IFNGR1"	N
"CD11a,_ITGAL"	N
"CD11b,_ITGAM"	N
"CD11c,_ITGAX"	N
"CD120a,_TNFRSF1A"	N
"CD120b,_TNFRSF1B"	N
"CD121a,_IL1R1"	N
"CD121b,_IL1R2"	N
"CD122,_IL2RB"	N
"CD123,_IL3RA"	N
"CD124,_IL4R"	N
"CD125,_IL5RA"	N
"CD126,_IL6R"	N
"CD127,_IL7R"	N
"CD129,_IL9R"	N
"CD13,_ANPEP"	N
"CD130,_IL6ST"	N
"CD131,_CSF2RB"	N
"CD132,_IL2RG"	N
"CD133,_PROM1"	N
"CD136,_MST1R"	N
"CD138,_SDC1"	N
CD14	N
"CD140a,_PDGFRA"	N
"CD141,_THBD"	N
"CD142,_F3"	N
"CD143,_ACE"	N
"CD146,_MCAM"	N
"CD147,_BSG"	N
"CD148,_PTPRJ"	N
CD151	N
"CD155,_PVR"	N
"CD156a,_ADAM8"	N
"CD156b,_ADAM17"	N
"CD156c,_ADAM10"	N
"CD157,_BST1"	N
"CD159a,_KLRC1"	N
"CD159c,_KLRC2"	N
"CD161,_KLRB1"	N
"CD162,_SELPLG"	N
CD163	N
CD163b	N
CD164	N
"CD166,_ALCAM"	N
"CD167a,_DDR1"	N
"CD168,_HMMR"	N
"CD169,_SN"	N
"CD16a,_FCGR3A"	N
"CD16b,_FCGR3B"	N
"CD170,_SIGLEC5"	N
"CD172a,_PTPNS1"	N
"CD172b,_SIRPB1"	N
"CD172g,_SIRPB2"	N
CD177	N
"CD18,_ITGB2"	N
CD180	N
"CD181,_CXCR1"	N
"CD182,_CXCR2"	N
"CD184,_CXCR4"	N
"CD186,_CXCR6"	N
"CD191,_CCR1"	N
"CD192,_CCR2"	N
"CD195,_CCR5"	N
"CD196,_CCR6"	N
"CD197,_CCR7"	N
CD1a	N
CD1b	N
CD1c	N
CD1d	N
CD1e	N
CD2	N
"CD20,_MS4A1"	N
CD200	N
"CD201,_PROCR"	N
"CD203a,_ENPP1"	N
"CD203c,_ENPP3"	N
"CD204,_MSR1"	N
"CD205,_LY75"	N
"CD206,_MRC1"	N
CD207	N
"CD208,_LAMP3"	N
CD209	N
"CD210,_IL10RA"	N
"CD212,_IL12RB1"	N
"CD213a1,_IL13RA1"	N
"CD215,_IL15RA"	N
"CD217,_IL17R"	N
"CD218a,_IL18R1"	N
"CD218b,_IL18RAP"	N
CD22	N
"CD22,_SIGLEC2"	N
"CD220,_INSR"	N
"CD221,_IGF1R"	N
"CD222,_IGF2R"	N
"CD223,_LAG3"	N
"CD224,_GGT1"	N
"CD225,_IFITM1"	N
"CD227,_MUC1"	N
"CD228,_MFI2"	N
"CD229,_LY9"	N
"CD230,_PRNP"	N
"CD231,_TSPAN7"	N
"CD232,_PLXNC1"	N
"CD233,_SLC4A1"	N
"CD236,_GYPC"	N
"CD238,_KEL"	N
"CD239,_LU"	N
CD24	N
"CD240CE,_RHCE"	N
"CD240D,_RHD"	N
"CD242,_ICAM4"	N
CD244	N
CD247	N
"CD249,_ENPEP"	N
"CD253,_TNFSF10"	N
"CD256,_TNFSF13"	N
"CD257,_TNFSF13B"	N
"CD258,_TNFSF14"	N
"CD26,_DPP4"	N
"CD261,_TNFRSF10A"	N
"CD262,_TNFRSF10B"	N
"CD263,_TNFRSF10C"	N
"CD264,_TNFRSF10D"	N
"CD265,_TNFRSF11A"	N
"CD266,_TNFRSF12A"	N
"CD270,_TNFRSF14"	N
"CD271,_NGFR"	N
"CD273,_PDCD1LG2"	N
CD274	N
"CD275,_ICOSLG"	N
CD276	N
"CD277,_BTN3A1"	N
"CD278,_ICOS"	N
CD28	N
"CD280,_MRC2"	N
"CD281,_TLR1"	N
"CD282,_TLR2"	N
"CD283,_TLR3"	N
"CD284,_TLR4"	N
"CD286,_TLR6"	N
"CD288,_TLR8"	N
"CD29,_ITGB1"	N
"CD292,_BMPR1A"	N
"CD295,_LEPR"	N
"CD298,_ATP1B3"	N
"CD299,_CLEC4M"	N
CD300a	N
CD300c	N
"CD301,_CLEC10A"	N
CD302	N
"CD304,_NRP1"	N
"CD305,_LAIR1"	N
"CD306,_LAIR2"	N
"CD309,_KDR"	N
"CD31,_PECAM1"	N
"CD312,_EMR2"	N
"CD314,_KLRK1"	N
"CD315,_PTGFRN"	N
"CD316,_IGSF8"	N
"CD317,_BST2"	N
"CD318,_CDCP1"	N
"CD319,_SLAMF7"	N
CD320	N
"CD321,_F11R"	N
"CD324,_CDH1"	N
"CD325,_CDH2"	N
"CD326,_TACSTD1"	N
"CD328,_SIGLEC7"	N
"CD329,_SIGLEC9"	N
"CD32a,_FCGR2A"	N
"CD32b,_FCGR2B"	N
"CD32c,_FCGR2C"	N
CD33	N
"CD33,_SIGLEC3"	N
"CD331,_FGFR1"	N
"CD332,_FGFR2"	N
"CD333,_FGFR3"	N
"CD338,_ABCG2"	N
"CD339,_JAG1"	N
CD34	N
"CD340,_ERBB2"	N
"CD344,_FZD4"	N
"CD35,_CR1"	N
"CD352,_SLAMF6"	N
"CD353,_SLAMF8"	N
"CD354,_TREM1"	N
"CD357,_TNFRSF18"	N
"CD358,_TNFRSF21"	N
CD36	N
"CD361,_EVI2B"	N
"CD362,_SDC2"	N
"CD363,_S1PR1"	N
"CD366,_HAVCR2"	N
"CD367,_CLEC4A"	N
"CD369,_CLEC7A"	N
CD37	N
"CD371,_CLEC12A"	N
CD38	N
"CD39,_ENTPD1"	N
CD3d	N
CD3e	N
CD3g	N
CD4	N
CD40	N
"CD41,_ITGA2B"	N
"CD42a,_GP9"	N
"CD42d,_GP5"	N
"CD43,_SPN"	N
CD44	N
"CD45,_PTPRC"	N
"CD46,_MCP"	N
CD47	N
CD48	N
"CD48,_BCM1"	N
"CD49a,_ITGA1"	N
"CD49b,_ITGA2"	N
"CD49c,_ITGA3"	N
"CD49d,_ITGA4"	N
"CD49e,_ITGA5"	N
"CD49f,_ITGA6"	N
CD5	N
"CD50,_ICAM3"	N
"CD51,_ITGAV"	N
CD52	N
CD53	N
"CD54,_ICAM1"	N
"CD55,_DAF"	N
"CD56,_NCAM1"	N
CD58	N
"CD58,_LFA3"	N
CD59	N
CD6	N
"CD61,_ITGB3"	N
"CD62L,_SELL"	N
CD63	N
"CD64,_FCGR1A"	N
"CD66a,_CEACAM1"	N
"CD66b,_CEACAM8"	N
"CD66c,_CEACAM6"	N
"CD66d,_CEACAM3"	N
"CD66e,_CEACAM5"	N
CD68	N
CD69	N
CD7	N
"CD71,_TFRC"	N
CD72	N
"CD73,_NT5E"	N
CD74	N
CD79a	N
CD79b	N
CD81	N
CD82	N
CD83	N
CD84	N
"CD85a,_LILRB3"	N
"CD85b,_LILRB6"	N
"CD85c,_LILRB5"	N
"CD85d,_LILRB2"	N
"CD85e,_LILRA3"	N
"CD85f,_LILRB7"	N
"CD85g,_LILRA4"	N
"CD85h,_LILRA2"	N
"CD85i,_LILRA1"	N
"CD85j,_LILRB1"	N
"CD85k,_LILRB4"	N
CD86	N
"CD87,_PLAUR"	N
"CD88,_C5R1"	N
CD8a	N
"CD8b,_CD8B1"	N
CD9	N
"CD91,_LRP1"	N
"CD92,_SLC44A1"	N
CD93	N
"CD94,_KLRD1"	N
"CD95,_FAS"	N
CD96	N
CD97	N
"CD98,_SLC3A2"	N
CD99	N
Cdc37_/_p50	N
CDC7_family	N
CDK_family	N
CDKL_family	N
"CDw210b,_IL10RB"	N
"CDw293,_BMPR1B"	N
"CEACAM,_CD66"	N
Cell_adhesion_molecules	N
Cell_adhesion_molecules_(CAMs)	N
Cell_cycle	N
Cell_cycle_-_Caulobacter	N
Cell_cycle_-_yeast	N
Cell_motility	N
Cell_surface_receptors	N
Cellular_senescence	N
Central_carbon_metabolism_in_cancer	N
Centromeric_chromatin_formation_proteins	N
Centrosome_formation_and_ciliogenesis_proteins	N
cGMP-PKG_signaling_pathway	N
Chagas_disease_(American_trypanosomiasis)	N
Chaperone_mediated_autophagy_(CMA)	N
Chaperones_and_folding_catalysts	N
Check_point_factors	N
Chemical_carcinogenesis	N
Chemokine	N
Chemokine_signaling_pathway	N
Chemokines	N
CHI3L1_2	N
CHID1	N
Chloride_channel_(CLC)	N
"Chloride_channel,_calcium-activated_(CaCC)"	N
"Chloride_channel,_intracellular_(CLIC)"	N
"Chloride_channel,_volume-regulated_(VRAC)"	N
Chloroalkane_and_chloroalkene_degradation	N
Chlorocyclohexane_and_chlorobenzene_degradation	N
Cholesterol_metabolism	N
Choline_metabolism_in_cancer	N
Cholinergic_synapse	N
Chromatin_remodeling_factors	N
Chromosome_and_associated_proteins	N
Chromosome_condensation_proteins	N
Chromosome_partitioning_proteins	N
Chronic_myeloid_leukemia	N
Circadian_entrainment	N
Circadian_rhythm	N
Circadian_rhythm_-_fly	N
Circadian_rhythm_-_plant	N
cis-trans-Isomerases	N
Citrate_cycle_(TCA_cycle)	N
CK1_family	N
CK2_family	N
Class_I	N
Class_I_(A)	N
Class_I_(G)	N
Class_I_(U)	N
Class_I_PTPs_(Classical)	N
Class_I_PTPs_(Dual_specificity_phosphatases)	N
Class_II	N
Class_II_(A)	N
Class_II_(C/G)	N
Class_II_(U)	N
Class_II_PTPs	N
Class_III	N
Class_III_PTPs	N
Class_IV	N
Class_V	N
Clathrin-mediated_endocytosis	N
CLGN	N
CLK_family	N
CNTN1	N
Coagulation_and_fibrinolysis	N
Cocaine_addiction	N
Cofactor_metabolism	N
Collagen_family	N
Collecting_duct_acid_secretion	N
Colorectal_cancer	N
Common_spliceosomal_components	N
Competence-related_DNA_transformation_transporter_(DNA-T)_core_components	N
Complement_and_coagulation_cascades	N
Component_type	N
Contactins	N
Core_oligosaccharide	N
Core_particles_(20S_proteasome)	N
Cortisol_synthesis_and_secretion	N
CPM	N
CSF_and_other_factors	N
CSK_family	N
CTSL	N
CTX_family	N
Cushing_syndrome	N
"Cutin,_suberine_and_wax_biosynthesis"	N
CX3C_Chemokine	N
CXC_Chemokine	N
Cyanoamino_acid_metabolism	N
Cyclic_nucleotide-gated_channel_(CNG)	N
Cyclic_nucleotide-gated_channel_(HCN)	N
CYP1_family	N
CYP11_family	N
CYP2_family	N
CYP20_family	N
CYP24_family	N
CYP26_family	N
CYP27_family	N
CYP2A6	N
CYP3_family	N
CYP39_family	N
CYP4_family	N
CYP5_family	N
CYP51_family	N
CYP7_family	N
Cysteine_and_methionine_metabolism	N
Cytochrome_P450	N
Cytokine_receptors	N
Cytokine-cytokine_receptor_interaction	N
Cytokines	N
Cytokines_and_growth_factors	N
Cytoplasm_to_vacuolar_targeting_(CVT)_pathway	N
Cytoskeleton_proteins	N
Cytosolic_DNA-sensing_pathway	N
D_Rev-Erb	N
D-Glutamine_and_D-glutamate_metabolism	N
"DAF,_CD55"	N
DAPK_family	N
DCAMKL_family	N
DDR_family	N
DegP_/_HtrA	N
"DHFR,_folA"	N
Dilated_cardiomyopathy_(DCM)	N
DMPK_family	N
DNA_repair_and_recombination_proteins	N
DNA_replication	N
DNA_Replication_Elongation_Factors	N
DNA_Replication_Initiation_Factors	N
DNA_replication_proteins	N
DNA_Replication_Termination_Factors	N
DNA_Topoisomerases	N
Dol-linked_oligosaccharide	N
Dol-P-Man_biosyntheisis	N
Dopaminergic_synapse	N
Dorso-ventral_axis_formation	N
DPEP	N
Drug_metabolism_-_cytochrome_P450	N
Drug_metabolism_-_other_enzymes	N
Drug_transporters	N
DSBR_(double_strand_breaks_repair)	N
DSCAM_family	N
DYRK_family	N
"E3131,_phoA,_phoB"	N
"E42146,_rfbB,_rffG"	N
ECM-receptor_interaction	N
EDEM1	N
EDEM2	N
EDEM3	N
EGF-like_module-containing_mucin-like_hormone_receptor-like_(EMR)	N
EGFR_family	N
EGFR_tyrosine_kinase_inhibitor_resistance	N
Electrochemical_potential-driven_transporters	N
Elongation_factors	N
Endocrine_and_other_factor-regulated_calcium_reabsorption	N
Endocrine_resistance	N
Endocytosis	N
Endometrial_cancer	N
Endoplasmic_reticulum_membrane_and_cytosol	N
Endosomal_sorting_complexes_required_for_transport_(ESCRT)	N
Energy_metabolism	N
"ENPP1_3,_CD203"	N
Enzymes	N
Enzymes_with_EC_numbers	N
EPH_family	N
Epithelial_cell_signaling_in_Helicobacter_pylori_infection	Prior
Epithelial_sodium_channel_(ENaC)	N
Epstein-Barr_virus_infection	N
ErbB_signaling_pathway	N
Estrogen_signaling_pathway	N
Ether_lipid_metabolism	N
Eukaryotes	N
Eukaryotic_Sec-SRP_protein	N
Exosomal_proteins	N
Exosomal_proteins_of_bladder_cancer_cells	N
Exosomal_proteins_of_breast_cancer_cells	N
Exosomal_proteins_of_breast_milk	N
Exosomal_proteins_of_colorectal_cancer_cells	N
Exosomal_proteins_of_cortical_neuronal_cells	N
Exosomal_proteins_of_epithelial_cells	N
"Exosomal_proteins_of_haemopoietic_cells__(B-cell,_T-cell,_DC-cell,_reticulocyte,_and_mast_cell)"	N
Exosomal_proteins_of_hepatic_cells	N
Exosomal_proteins_of_melanoma_cells	N
Exosomal_proteins_of_microglial_cells	N
Exosomal_proteins_of_oligodendrocytes	N
Exosomal_proteins_of_other_body_fluids_(saliva_and_urine)	N
Exosomal_proteins_of_other_cancer_cells	N
Exosomal_proteins_of_ovarian_cancer_cells	N
Exosomal_RNA	N
Exosomal_RNA_of_breast_milk	N
Exosomal_RNA_of_melanoma_cells	N
Exosomal_RNA_of_other_cancer_cells	N
Exosome	N
Extracellular_matrix_molecules	N
Extracellular_matrix_or_blood_plasma_proteins	N
EYAs	N
F_COUP-TF_like_receptor	N
F_RAR-related_orphan_receptor	N
"F3,_CD142"	N
FAK_family	N
Family_A1:_pepsin_family	N
Family_A22:_presenilin_family	N
Family_C1:_papain_family	N
Family_C12:_ubiquitin_C-terminal_hydrolase_family	N
Family_C13:_legumain_family	N
Family_C14:_caspase_family	N
Family_C15:_pyroglutamyl_peptidase_I_family	N
Family_C19:_ubiquitin-specific_protease_family	N
Family_C2:_calpain_family	N
Family_C26:_gamma-glutamyl_hydrolase_family	N
Family_C44	N
Family_C46:_hedgehog_family	N
Family_C48:_Ulp1_endopeptidase_family	N
Family_C50:_separase_family	N
Family_C54:_Aut2_peptidase_family	N
Family_C56:_PfpI_endopeptidase_family	N
Family_C64	N
Family_C65	N
Family_C67	N
Family_C69	N
Family_C78	N
Family_C85	N
Family_C86	N
Family_C88	N
Family_C89	N
Family_C97	N
Family_C98	N
Family_M1	N
Family_M10	N
Family_M12:_astacin/adamalysin_family	N
Family_M13:_neprilysin_family	N
Family_M14:_carboxypeptidase_A_family	N
Family_M16:_pitrilysin_family	N
Family_M17:_leucyl_aminopeptidase_family	N
Family_M18	N
Family_M19:_membrane_dipeptidase_family	N
Family_M2	N
Family_M20	N
Family_M24	N
Family_M28:_aminopeptidase_Y_family	N
Family_M3	N
Family_M38:_beta-aspartyl_dipeptidase_family	N
Family_M41:_FtsH_endopeptidase_family	N
Family_M43:_cytophagalysin_family	N
Family_M48:_Ste24_endopeptidase_family	N
Family_M49:_dipeptidyl-peptidase_III_family	N
Family_M50:_S2P_protease_family	N
Family_M54	N
Family_M67	N
Family_M79:_prenyl_protease_2_family	N
Family_M8:_leishmanolysin_family	N
Family_P2	N
Family_S1:_chymotrypsin_family	N
Family_S10	N
Family_S12:_D-Ala-D-Ala_carboxypeptidase_B_family	N
Family_S14:_ClpP_endopeptidase_family	N
Family_S16:_lon_protease_family	N
Family_S26:_signal_peptidase_I_family	N
Family_S28	N
Family_S33	N
Family_S53	N
Family_S54:_Rhomboid_family	N
Family_S8:_subtilisin_family	N
Family_S9:_prolyl_oligopeptidase_family	N
Family_T1:_proteasome_family	N
Family_T2	N
Family_T3:_gamma-glutamyltransferase_family	N
Fanconi_anemia_pathway	N
Farnesyltransferase/geranylgeranyltransferase_1	N
FAST_family	N
Fat_digestion_and_absorption	N
Fatty_acid_biosynthesis	N
Fatty_acid_degradation	N
Fatty_acid_elongation	N
"FBXO17,_FBXO26"	N
"FBXO2,_NFB42"	N
FBXO27	N
FBXO44	N
FBXO6	N
Fc_epsilon_RI_signaling_pathway	N
Fc_gamma_R-mediated_phagocytosis	N
"FCGR3,_CD16"	N
FCN	N
Fcp/Scp_phosphatases	N
Ferroptosis	N
FES_family	N
FGFR_family	N
First	N
Flavone_and_flavonol_biosynthesis	N
Fluid_shear_stress_and_atherosclerosis	N
Fluorobenzoate_degradation	N
Focal_adhesion	N
Folate_biosynthesis	N
FOLR	N
Forming_carbon-carbon_bonds	N
Forming_carbon-nitrogen_bonds	N
Forming_carbon-oxygen_bonds	N
Forming_carbon-sulfur_bonds	N
Forming_phosphoric-ester_bonds	N
FORS_blood_group_(Forssman_antigen)	N
Forward_pathways	N
FoxO_signaling_pathway	Prior
Front-end	N
Fructose_and_mannose_metabolism	N
Function_unknown	N
"FZD1_7,_fz"	N
FZD3	N
"FZD4,_fz4,_CD344"	N
"FZD5_8,_fz2"	N
FZD6	N
G_protein-coupled_receptors	N
G11_family	N
GABA	N
GABA-A	N
GABAergic_synapse	N
Galactose_metabolism	N
Gamma_Subunits	N
Gap_junction	N
Gastric_acid_secretion	N
Gastric_cancer	N
Gene_silencing	N
General_function_prediction_only	N
Geraniol_degradation	N
"GFRA1,_GDNFRA"	N
ggt	N
GimC	N
Glioma	N
GLOB_blood_group	N
Global_maps_only	N
Glucagon_signaling_pathway	N
Glutamate_(ionotropic)	N
Glutamate_(metabotropic)	N
Glutamatergic_synapse	N
Glutathione_metabolism	N
Glycerolipid_metabolism	N
Glycerophospholipid_metabolism	N
Glycine	N
"Glycine,_serine_and_threonine_metabolism"	N
Glycolipid	N
Glycolysis_/_Gluconeogenesis	N
Glycosaminoglycan	N
Glycosaminoglycan_binding_proteins	N
Glycosaminoglycan_biosynthesis_-_chondroitin_sulfate_/_dermatan_sulfate	N
Glycosaminoglycan_biosynthesis_-_heparan_sulfate_/_heparin	N
Glycosaminoglycan_biosynthesis_-_keratan_sulfate	N
Glycosaminoglycan_degradation	N
Glycosphingolipid	N
Glycosphingolipid_biosynthesis_-_ganglio_series	N
Glycosphingolipid_biosynthesis_-_globo_and_isoglobo_series	N
Glycosphingolipid_biosynthesis_-_lacto_and_neolacto_series	N
Glycosylases	N
Glycosylphosphatidylinositol_(GPI)-anchor_biosynthesis	N
Glycosylphosphatidylinositol_(GPI)-anchored_proteins	N
Glycosyltransferases	N
Glyoxylate_and_dicarboxylate_metabolism	N
Glypican_family_(GPI-anchored_HSPG)	N
"GNPTG,_GNPTAG"	N
GnRH_secretion	N
GnRH_signaling_pathway	N
GP2	N
GPAT	N
GPC1	N
GPC3	N
GPC4	N
Graft-versus-host_disease	N
GRK_family	N
Gropu_5:_NK-cell_receptors	N
Group_1:_Proteoglycan_core_proteins	N
Group_10:_Polycystin	N
Group_14:_Thrombomodulin	N
Group_15:_CLEC18_family	N
Group_2:_Type_II_membrane_receptors_(Asialoglycprotien_and_DC_receptors)	N
Group_3:_Collectins	N
Group_4:_Selectins	N
Group_6:_Mannose_receptor_family	N
Group_8:_Layilin_and_related_receptors	N
Group_9:_Tetranectin	N
Growth_factors_(RTK_binding)	N
Growth_factors/receptors	N
GSK_family	N
"GST,_gst"	N
GSTK1	N
GTP-binding_proteins	N
GTPases	N
Gut_peptide	N
H_Liver_X_receptor_like_receptor	N
H11_family	N
HB_prenyltransferase	N
HECT_type_E3	N
Hedgehog_signaling_pathway	N
Hedgehog_signaling_pathway_-_fly	N
Helix-turn-helix	N
Hematopoietic_cell_lineage	N
Hepatitis_B	N
Hepatitis_C	N
Hepatocellular_carcinoma	N
Herpes_simplex_virus_1_infection	N
Heterochromatin_formation_proteins	N
HIF-1_signaling_pathway	N
Hippo_signaling_pathway	Prior
Hippo_signaling_pathway_-_fly	N
Hippo_signaling_pathway_-_multiple_species	N
Histidine_metabolism	N
Histone_modification_proteins	N
Homologous_recombination	N
HSP10	N
HSP100	N
HSP110	N
HSP20	N
HSP24	N
HSP40_/_DNAJ	N
HSP47	N
HSP60_/_Chaperonin	N
HSP70_/_DNAK	N
HSP90	N
Human_cytomegalovirus_infection	N
Human_immunodeficiency_virus_1_infection	N
Human_papillomavirus_infection	N
Human_T-cell_leukemia_virus_1_infection	N
Huntington_disease	N
hya	N
Hyaluronidases/Collagenases	N
Hydrophobic_molecule	N
Hypertrophic_cardiomyopathy_(HCM)	N
I_antigen	N
I_Vitamin_D3_like_receptor	N
"ICAM1,_CD54"	N
"ICAM2,_CD102"	N
"ICAM3,_CD50"	N
IFN_receptor_family	N
"IGF2R,_CD222"	N
IgLON_family	N
IGSF9	N
